"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","526","Login with correct email and password","LMS service","Mon Jan 12 15:58:09 UTC 2026","passed","Mon Jan 12 15:58:10 UTC 2026","Login","Authentication","",""
"","300","Delete exercise","LMS service","Mon Jan 12 15:58:15 UTC 2026","passed","Mon Jan 12 15:58:15 UTC 2026","Delete entity","Exercises","",""
"","22","Get exercises","LMS service","Mon Jan 12 15:58:12 UTC 2026","passed","Mon Jan 12 15:58:12 UTC 2026","Get entities","Exercises","",""
"","18","Get file","LMS service","Mon Jan 12 15:58:16 UTC 2026","passed","Mon Jan 12 15:58:16 UTC 2026","Get entity","Files","",""
"","308","Get Courses","LMS service","Mon Jan 12 15:58:10 UTC 2026","passed","Mon Jan 12 15:58:11 UTC 2026","Get entities","Courses","",""
"","300","Get exercise","LMS service","Mon Jan 12 15:58:12 UTC 2026","passed","Mon Jan 12 15:58:12 UTC 2026","Get entity","Exercises","",""
"","542","Create file with empty directory","LMS service","Mon Jan 12 15:58:16 UTC 2026","passed","Mon Jan 12 15:58:17 UTC 2026","Validate entity","Files","",""
"","306","Update exercise","LMS service","Mon Jan 12 15:58:14 UTC 2026","passed","Mon Jan 12 15:58:14 UTC 2026","Update entity","Exercises","",""
"","12","Get user me","LMS service","Mon Jan 12 15:58:18 UTC 2026","passed","Mon Jan 12 15:58:18 UTC 2026","Get entity","Users","",""
"","272","Get file with incorrect file id","LMS service","Mon Jan 12 15:58:17 UTC 2026","passed","Mon Jan 12 15:58:17 UTC 2026","Validate entity","Files","",""
"","289","Create user","LMS service","Mon Jan 12 15:58:17 UTC 2026","passed","Mon Jan 12 15:58:17 UTC 2026","Create entity","Users","",""
"","26","Delete file","LMS service","Mon Jan 12 15:58:15 UTC 2026","passed","Mon Jan 12 15:58:15 UTC 2026","Delete entity","Files","",""
"","31","Create exercise","LMS service","Mon Jan 12 15:58:10 UTC 2026","passed","Mon Jan 12 15:58:10 UTC 2026","Create entity","Exercises","",""
"","36","Create course","LMS service","Mon Jan 12 15:58:11 UTC 2026","passed","Mon Jan 12 15:58:11 UTC 2026","Create entity","Courses","",""
"","539","Create user","LMS service","Mon Jan 12 15:58:17 UTC 2026","passed","Mon Jan 12 15:58:17 UTC 2026","Create entity","Users","",""
"","570","Create file with empty filename","LMS service","Mon Jan 12 15:58:17 UTC 2026","passed","Mon Jan 12 15:58:17 UTC 2026","Validate entity","Files","",""
"","812","Create user","LMS service","Mon Jan 12 15:58:17 UTC 2026","passed","Mon Jan 12 15:58:18 UTC 2026","Create entity","Users","",""
"","28","Update course","LMS service","Mon Jan 12 15:58:13 UTC 2026","passed","Mon Jan 12 15:58:13 UTC 2026","Update entity","Courses","",""
"","275","Create file","LMS service","Mon Jan 12 15:58:13 UTC 2026","passed","Mon Jan 12 15:58:14 UTC 2026","Create entity","Files","",""
