"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","578","Update course","LMS service","Mon Jan 12 14:33:00 UTC 2026","passed","Mon Jan 12 14:33:01 UTC 2026","Update entity","Courses","",""
"","38","Create course","LMS service","Mon Jan 12 14:32:59 UTC 2026","passed","Mon Jan 12 14:32:59 UTC 2026","Create entity","Courses","",""
"","275","Create file","LMS service","Mon Jan 12 14:33:02 UTC 2026","passed","Mon Jan 12 14:33:03 UTC 2026","Create entity","Files","",""
"","13","Get file","LMS service","Mon Jan 12 14:33:04 UTC 2026","passed","Mon Jan 12 14:33:04 UTC 2026","Get entity","Files","",""
"","38","Get Courses","LMS service","Mon Jan 12 14:32:59 UTC 2026","passed","Mon Jan 12 14:32:59 UTC 2026","Get entities","Courses","",""
"","34","Create file with empty filename","LMS service","Mon Jan 12 14:33:04 UTC 2026","passed","Mon Jan 12 14:33:04 UTC 2026","Validate entity","Files","",""
"","1095","Create user","LMS service","Mon Jan 12 14:33:06 UTC 2026","passed","Mon Jan 12 14:33:07 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Mon Jan 12 14:33:07 UTC 2026","passed","Mon Jan 12 14:33:07 UTC 2026","Get entity","Users","",""
"","291","Create user","LMS service","Mon Jan 12 14:33:06 UTC 2026","passed","Mon Jan 12 14:33:06 UTC 2026","Create entity","Users","",""
"","564","Update exercise","LMS service","Mon Jan 12 14:33:02 UTC 2026","passed","Mon Jan 12 14:33:03 UTC 2026","Update entity","Exercises","",""
"","23","Get exercise","LMS service","Mon Jan 12 14:33:01 UTC 2026","passed","Mon Jan 12 14:33:01 UTC 2026","Get entity","Exercises","",""
"","297","Delete exercise","LMS service","Mon Jan 12 14:33:03 UTC 2026","passed","Mon Jan 12 14:33:04 UTC 2026","Delete entity","Exercises","",""
"","570","Create exercise","LMS service","Mon Jan 12 14:32:59 UTC 2026","passed","Mon Jan 12 14:32:59 UTC 2026","Create entity","Exercises","",""
"","808","Create user","LMS service","Mon Jan 12 14:33:06 UTC 2026","passed","Mon Jan 12 14:33:06 UTC 2026","Create entity","Users","",""
"","24","Delete file","LMS service","Mon Jan 12 14:33:06 UTC 2026","passed","Mon Jan 12 14:33:06 UTC 2026","Delete entity","Files","",""
"","29","Create file with empty directory","LMS service","Mon Jan 12 14:33:06 UTC 2026","passed","Mon Jan 12 14:33:06 UTC 2026","Validate entity","Files","",""
"","528","Login with correct email and password","LMS service","Mon Jan 12 14:32:58 UTC 2026","passed","Mon Jan 12 14:32:58 UTC 2026","Login","Authentication","",""
"","15","Get file with incorrect file id","LMS service","Mon Jan 12 14:33:06 UTC 2026","passed","Mon Jan 12 14:33:06 UTC 2026","Validate entity","Files","",""
"","22","Get exercises","LMS service","Mon Jan 12 14:33:01 UTC 2026","passed","Mon Jan 12 14:33:01 UTC 2026","Get entities","Exercises","",""
