"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","555","Create user","LMS service","Mon Jan 12 14:54:20 UTC 2026","passed","Mon Jan 12 14:54:21 UTC 2026","Create entity","Users","",""
"","41","Update course","LMS service","Mon Jan 12 14:54:15 UTC 2026","passed","Mon Jan 12 14:54:15 UTC 2026","Update entity","Courses","",""
"","30","Delete file","LMS service","Mon Jan 12 14:54:18 UTC 2026","passed","Mon Jan 12 14:54:18 UTC 2026","Delete entity","Files","",""
"","26","Delete exercise","LMS service","Mon Jan 12 14:54:17 UTC 2026","passed","Mon Jan 12 14:54:17 UTC 2026","Delete entity","Exercises","",""
"","540","Create file with empty filename","LMS service","Mon Jan 12 14:54:19 UTC 2026","passed","Mon Jan 12 14:54:19 UTC 2026","Validate entity","Files","",""
"","568","Create file with empty directory","LMS service","Mon Jan 12 14:54:20 UTC 2026","passed","Mon Jan 12 14:54:21 UTC 2026","Validate entity","Files","",""
"","520","Create user","LMS service","Mon Jan 12 14:54:21 UTC 2026","passed","Mon Jan 12 14:54:21 UTC 2026","Create entity","Users","",""
"","534","Get file with incorrect file id","LMS service","Mon Jan 12 14:54:19 UTC 2026","passed","Mon Jan 12 14:54:20 UTC 2026","Validate entity","Files","",""
"","22","Get file","LMS service","Mon Jan 12 14:54:18 UTC 2026","passed","Mon Jan 12 14:54:18 UTC 2026","Get entity","Files","",""
"","256","Get user me","LMS service","Mon Jan 12 14:54:21 UTC 2026","passed","Mon Jan 12 14:54:21 UTC 2026","Get entity","Users","",""
"","277","Create file","LMS service","Mon Jan 12 14:54:17 UTC 2026","passed","Mon Jan 12 14:54:17 UTC 2026","Create entity","Files","",""
"","39","Get Courses","LMS service","Mon Jan 12 14:54:13 UTC 2026","passed","Mon Jan 12 14:54:13 UTC 2026","Get entities","Courses","",""
"","304","Create exercise","LMS service","Mon Jan 12 14:54:13 UTC 2026","passed","Mon Jan 12 14:54:13 UTC 2026","Create entity","Exercises","",""
"","529","Login with correct email and password","LMS service","Mon Jan 12 14:54:12 UTC 2026","passed","Mon Jan 12 14:54:12 UTC 2026","Login","Authentication","",""
"","809","Create user","LMS service","Mon Jan 12 14:54:19 UTC 2026","passed","Mon Jan 12 14:54:20 UTC 2026","Create entity","Users","",""
"","23","Get exercises","LMS service","Mon Jan 12 14:54:15 UTC 2026","passed","Mon Jan 12 14:54:15 UTC 2026","Get entities","Exercises","",""
"","33","Get exercise","LMS service","Mon Jan 12 14:54:15 UTC 2026","passed","Mon Jan 12 14:54:15 UTC 2026","Get entity","Exercises","",""
"","30","Create course","LMS service","Mon Jan 12 14:54:13 UTC 2026","passed","Mon Jan 12 14:54:13 UTC 2026","Create entity","Courses","",""
"","29","Update exercise","LMS service","Mon Jan 12 14:54:17 UTC 2026","passed","Mon Jan 12 14:54:17 UTC 2026","Update entity","Exercises","",""
