"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","Sun Jan 11 14:27:56 UTC 2026","passed","Sun Jan 11 14:27:56 UTC 2026","Get entity","Users","",""
"","15","Get file","LMS service","Sun Jan 11 14:27:53 UTC 2026","passed","Sun Jan 11 14:27:53 UTC 2026","Get entity","Files","",""
"","305","Create exercise","LMS service","Sun Jan 11 14:27:48 UTC 2026","passed","Sun Jan 11 14:27:48 UTC 2026","Create entity","Exercises","",""
"","271","Create file with empty filename","LMS service","Sun Jan 11 14:27:54 UTC 2026","passed","Sun Jan 11 14:27:54 UTC 2026","Validate entity","Files","",""
"","527","Login with correct email and password","LMS service","Sun Jan 11 14:27:47 UTC 2026","passed","Sun Jan 11 14:27:47 UTC 2026","Login","Authentication","",""
"","826","Create user","LMS service","Sun Jan 11 14:27:55 UTC 2026","passed","Sun Jan 11 14:27:56 UTC 2026","Create entity","Users","",""
"","23","Create file with empty directory","LMS service","Sun Jan 11 14:27:56 UTC 2026","passed","Sun Jan 11 14:27:56 UTC 2026","Validate entity","Files","",""
"","314","Create course","LMS service","Sun Jan 11 14:27:49 UTC 2026","passed","Sun Jan 11 14:27:50 UTC 2026","Create entity","Courses","",""
"","543","Get file with incorrect file id","LMS service","Sun Jan 11 14:27:54 UTC 2026","passed","Sun Jan 11 14:27:55 UTC 2026","Validate entity","Files","",""
"","25","Delete file","LMS service","Sun Jan 11 14:27:53 UTC 2026","passed","Sun Jan 11 14:27:53 UTC 2026","Delete entity","Files","",""
"","570","Create file","LMS service","Sun Jan 11 14:27:53 UTC 2026","passed","Sun Jan 11 14:27:54 UTC 2026","Create entity","Files","",""
"","300","Get exercises","LMS service","Sun Jan 11 14:27:51 UTC 2026","passed","Sun Jan 11 14:27:52 UTC 2026","Get entities","Exercises","",""
"","297","Delete exercise","LMS service","Sun Jan 11 14:27:51 UTC 2026","passed","Sun Jan 11 14:27:52 UTC 2026","Delete entity","Exercises","",""
"","290","Create user","LMS service","Sun Jan 11 14:27:55 UTC 2026","passed","Sun Jan 11 14:27:55 UTC 2026","Create entity","Users","",""
"","22","Update exercise","LMS service","Sun Jan 11 14:27:51 UTC 2026","passed","Sun Jan 11 14:27:51 UTC 2026","Update entity","Exercises","",""
"","831","Create user","LMS service","Sun Jan 11 14:27:54 UTC 2026","passed","Sun Jan 11 14:27:55 UTC 2026","Create entity","Users","",""
"","22","Get exercise","LMS service","Sun Jan 11 14:27:50 UTC 2026","passed","Sun Jan 11 14:27:50 UTC 2026","Get entity","Exercises","",""
"","38","Get Courses","LMS service","Sun Jan 11 14:27:48 UTC 2026","passed","Sun Jan 11 14:27:48 UTC 2026","Get entities","Courses","",""
"","44","Update course","LMS service","Sun Jan 11 14:27:50 UTC 2026","passed","Sun Jan 11 14:27:50 UTC 2026","Update entity","Courses","",""
