"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","Sun Jan 11 14:24:14 UTC 2026","passed","Sun Jan 11 14:24:14 UTC 2026","Get entity","Users","",""
"","275","Create file","LMS service","Sun Jan 11 14:24:09 UTC 2026","passed","Sun Jan 11 14:24:09 UTC 2026","Create entity","Files","",""
"","28","Update exercise","LMS service","Sun Jan 11 14:24:09 UTC 2026","passed","Sun Jan 11 14:24:09 UTC 2026","Update entity","Exercises","",""
"","21","Get file with incorrect file id","LMS service","Sun Jan 11 14:24:12 UTC 2026","passed","Sun Jan 11 14:24:12 UTC 2026","Validate entity","Files","",""
"","297","Create file with empty filename","LMS service","Sun Jan 11 14:24:10 UTC 2026","passed","Sun Jan 11 14:24:11 UTC 2026","Validate entity","Files","",""
"","17","Get exercises","LMS service","Sun Jan 11 14:24:08 UTC 2026","passed","Sun Jan 11 14:24:08 UTC 2026","Get entities","Exercises","",""
"","301","Delete file","LMS service","Sun Jan 11 14:24:12 UTC 2026","passed","Sun Jan 11 14:24:13 UTC 2026","Delete entity","Files","",""
"","315","Get Courses","LMS service","Sun Jan 11 14:24:05 UTC 2026","passed","Sun Jan 11 14:24:06 UTC 2026","Get entities","Courses","",""
"","534","Create file with empty directory","LMS service","Sun Jan 11 14:24:12 UTC 2026","passed","Sun Jan 11 14:24:12 UTC 2026","Validate entity","Files","",""
"","795","Login with correct email and password","LMS service","Sun Jan 11 14:24:04 UTC 2026","passed","Sun Jan 11 14:24:05 UTC 2026","Login","Authentication","",""
"","54","Update course","LMS service","Sun Jan 11 14:24:08 UTC 2026","passed","Sun Jan 11 14:24:08 UTC 2026","Update entity","Courses","",""
"","572","Create user","LMS service","Sun Jan 11 14:24:12 UTC 2026","passed","Sun Jan 11 14:24:13 UTC 2026","Create entity","Users","",""
"","32","Get exercise","LMS service","Sun Jan 11 14:24:08 UTC 2026","passed","Sun Jan 11 14:24:08 UTC 2026","Get entity","Exercises","",""
"","35","Create exercise","LMS service","Sun Jan 11 14:24:06 UTC 2026","passed","Sun Jan 11 14:24:06 UTC 2026","Create entity","Exercises","",""
"","27","Create course","LMS service","Sun Jan 11 14:24:06 UTC 2026","passed","Sun Jan 11 14:24:06 UTC 2026","Create entity","Courses","",""
"","800","Create user","LMS service","Sun Jan 11 14:24:13 UTC 2026","passed","Sun Jan 11 14:24:13 UTC 2026","Create entity","Users","",""
"","13","Get file","LMS service","Sun Jan 11 14:24:11 UTC 2026","passed","Sun Jan 11 14:24:11 UTC 2026","Get entity","Files","",""
"","296","Create user","LMS service","Sun Jan 11 14:24:12 UTC 2026","passed","Sun Jan 11 14:24:13 UTC 2026","Create entity","Users","",""
"","319","Delete exercise","LMS service","Sun Jan 11 14:24:10 UTC 2026","passed","Sun Jan 11 14:24:11 UTC 2026","Delete entity","Exercises","",""
