"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Get exercise","LMS service","Sun Jan 11 14:27:26 UTC 2026","passed","Sun Jan 11 14:27:26 UTC 2026","Get entity","Exercises","",""
"","564","Create user","LMS service","Sun Jan 11 14:27:30 UTC 2026","passed","Sun Jan 11 14:27:30 UTC 2026","Create entity","Users","",""
"","37","Create file","LMS service","Sun Jan 11 14:27:27 UTC 2026","passed","Sun Jan 11 14:27:27 UTC 2026","Create entity","Files","",""
"","17","Get file","LMS service","Sun Jan 11 14:27:29 UTC 2026","passed","Sun Jan 11 14:27:29 UTC 2026","Get entity","Files","",""
"","531","Login with correct email and password","LMS service","Sun Jan 11 14:27:22 UTC 2026","passed","Sun Jan 11 14:27:23 UTC 2026","Login","Authentication","",""
"","45","Update course","LMS service","Sun Jan 11 14:27:26 UTC 2026","passed","Sun Jan 11 14:27:26 UTC 2026","Update entity","Courses","",""
"","267","Create file with empty filename","LMS service","Sun Jan 11 14:27:29 UTC 2026","passed","Sun Jan 11 14:27:29 UTC 2026","Validate entity","Files","",""
"","294","Create user","LMS service","Sun Jan 11 14:27:29 UTC 2026","passed","Sun Jan 11 14:27:29 UTC 2026","Create entity","Users","",""
"","298","Update exercise","LMS service","Sun Jan 11 14:27:27 UTC 2026","passed","Sun Jan 11 14:27:27 UTC 2026","Update entity","Exercises","",""
"","30","Delete exercise","LMS service","Sun Jan 11 14:27:27 UTC 2026","passed","Sun Jan 11 14:27:27 UTC 2026","Delete entity","Exercises","",""
"","268","Get file with incorrect file id","LMS service","Sun Jan 11 14:27:31 UTC 2026","passed","Sun Jan 11 14:27:31 UTC 2026","Validate entity","Files","",""
"","524","Create user","LMS service","Sun Jan 11 14:27:31 UTC 2026","passed","Sun Jan 11 14:27:32 UTC 2026","Create entity","Users","",""
"","571","Delete file","LMS service","Sun Jan 11 14:27:29 UTC 2026","passed","Sun Jan 11 14:27:30 UTC 2026","Delete entity","Files","",""
"","262","Get user me","LMS service","Sun Jan 11 14:27:31 UTC 2026","passed","Sun Jan 11 14:27:32 UTC 2026","Get entity","Users","",""
"","313","Get Courses","LMS service","Sun Jan 11 14:27:24 UTC 2026","passed","Sun Jan 11 14:27:24 UTC 2026","Get entities","Courses","",""
"","28","Create exercise","LMS service","Sun Jan 11 14:27:24 UTC 2026","passed","Sun Jan 11 14:27:24 UTC 2026","Create entity","Exercises","",""
"","564","Get exercises","LMS service","Sun Jan 11 14:27:26 UTC 2026","passed","Sun Jan 11 14:27:26 UTC 2026","Get entities","Exercises","",""
"","542","Create file with empty directory","LMS service","Sun Jan 11 14:27:31 UTC 2026","passed","Sun Jan 11 14:27:31 UTC 2026","Validate entity","Files","",""
"","31","Create course","LMS service","Sun Jan 11 14:27:24 UTC 2026","passed","Sun Jan 11 14:27:24 UTC 2026","Create entity","Courses","",""
